User ID,Age,Gender,Marital status,Highest level of education completed?,Ownership of land/plot,Ownership of land with certificates,Ownership of mobile phone,Salaries/wages,Trading/selling produce,Service providing income,Piece work/Casual labor,Rental income,Interest from savings/investments,Pension,Social welfare grant,Receive money from others,Expenses covered by others,Other income,Employment type,Main items sold,Main services provided,Sent money in last 12 months?,Last time sent money,Received money in last 12 months?,Last time received money,Frequency of mobile money usage for purchases,Frequency of mobile money usage for bill payment,Literacy in Kiswahili,Literacy in English,Latitude,Longitude,Use of mobile money,Savings behavior,Borrowing behavior,Insurance ownership,Mobile money classification
5086,98,Female,Widowed,No formal education,You personally own the land/plot where you live,No,No,No,No,No,No,No,No,No,No,Yes,No,No,Not applicable,Not applicable,Not applicable,No,Not applicable,No,Not applicable,Never,Not applicable,Can neither read nor write,Can neither read nor write,-4.46044192,29.8113964,No,No,No,No,Does not use any financial service
1258,40,Male,Married,Primary completed,You do not own or rent the land,Yes,Yes,Yes,No,No,No,No,No,No,No,No,No,No,Government,Not applicable,Not applicable,Yes,In the past 90 days,Yes,More than 90 days ago but less than 6 months ago,Monthly,Monthly,Can read and write,Can neither read nor write,-6.17643812,39.24487062,Yes,Yes,Yes,No,Uses both
331,18,Female,Single/never married,University or other higher education,A household member owns the land/plot,No,Yes,No,No,No,No,No,No,No,No,Yes,No,No,Not applicable,Not applicable,Not applicable,No,Not applicable,No,Not applicable,Never,Not applicable,Can read and write,Can read and write,-6.82570215,37.65279782,Yes,No,No,No,Uses mobile money only
6729,50,Male,Married,Primary completed,You personally own the land/plot where you live,Yes,Yes,No,No,No,Yes,No,No,No,No,No,No,No,Not applicable,Not applicable,Not applicable,Yes,In the past 7 days,No,Not applicable,Monthly,Not applicable,Can read and write,Can neither read nor write,-3.37204916,35.8083073,Yes,No,Yes,No,Uses both
8671,34,Male,Married,No formal education,You personally own the land/plot where you live,No,Yes,No,Yes,No,No,No,No,No,No,No,No,No,Not applicable,Crops/produce I grow,Not applicable,No,Not applicable,Yes,Yesterday/today,Never,Not applicable,Can read and write,Can neither read nor write,-7.17964514,31.03909501,Yes,Yes,No,Yes,Uses both
5462,35,Male,Married,Primary completed,A household member owns the land/plot,No,Yes,No,Yes,No,Yes,No,No,No,No,No,No,No,Not applicable,Crops/produce I grow,Not applicable,No,Not applicable,Yes,In the past 30 days,Never,Not applicable,Can read and write,Can read and write,-6.36233065,37.13774142,No,No,Yes,No,Does not use mobile money
4886,31,Female,Married,Primary completed,You personally own the land/plot where you live,No,Yes,No,Yes,No,No,No,No,No,No,No,No,No,Not applicable,Crops/produce I grow,Not applicable,Yes,More than 90 days ago but less than 6 months ago,Yes,In the past 30 days,Never,Not applicable,Can read and write,Can read only,-8.08925722,35.83641476,Yes,Yes,Yes,Yes,Uses both
621,23,Female,Single/never married,Some secondary,You do not own or rent the land,No,Yes,No,No,Yes,No,No,No,No,No,No,No,No,Not applicable,Not applicable,"Personal services (hairdressers, massage, etc.)",Yes,In the past 90 days,Yes,In the past 90 days,Less often than monthly,Never,Can read only,Can read only,-8.91602782,33.43390406,Yes,Yes,No,No,Uses both
8302,56,Female,Widowed,Primary completed,A household member owns the land/plot,No,No,No,Yes,No,Yes,No,Yes,No,No,No,No,No,Not applicable,Crops/produce I grow,Not applicable,Yes,More than 90 days ago but less than 6 months ago,Yes,6 months or longer ago,Less often than monthly,Not applicable,Can read and write,Can read and write,-3.97224706,32.64995093,No,Yes,Yes,No,Does not use mobile money
4704,37,Female,Married,Primary completed,A household member owns the land/plot,No,Yes,No,Yes,No,No,No,No,No,Yes,Yes,No,No,Not applicable,Crops/produce I grow,Not applicable,Yes,In the past 30 days,Yes,In the past 90 days,Less often than monthly,Not applicable,Can read and write,Can neither read nor write,-8.03397315,35.76941599,Yes,No,No,Yes,Uses both
